"""Namoore of this, for Goddes dignitee,""",||,"¶“No moore of this, for Goddes dignitee,”"
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 919,DIFF,,10,Namoore,of,this,for,Goddes,dignitee
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 919,DIFF,,10,uSx,u,S,u,Su,SuS
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 919,DIFF,,10,no_more@n,of@prep,this@pron,for@prep,god@n1#propn%gen,dignite@n
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 919,DIFF,,10,No,moore,of,this,for,Goddes,dignitee
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 919,DIFF,,10,u,Sx,u,S,u,Su,SuS
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 919,DIFF,,10,,,of@prep,this@pron,for@prep,god@n1#propn%gen,dignite@n

"Quod oure Hooste, ""for thou makest me",||,"Quod oure Hoste, “for thou makest me"
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 920,,,10,Quod,oure,Hooste,for,thou,makest,me
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 920,,,10,u,Su,Su,S,u,Su,S
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 920,,,10,quethen@v%pt_3,oure@pron%pl_gen,hoste@n2,for@conj,thou@pron%nom,maken@v1%pr_2,me@pron2%obj
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 920,,,10,Quod,oure,Hoste,for,thou,makest,me
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 920,,,10,u,Su,Su,S,u,Su,S
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 920,,,10,quethen@v%pt_3,oure@pron%pl_gen,hoste@n2,for@conj,thou@pron%nom,maken@v1%pr_2,me@pron2%obj

So wery of thy verray lewednesse,||,So wery of thy verray lewednesse°
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 921,,,10,So,wery,of,thy,verray,lewednesse
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 921,,,10,u,Su,S,u,Su,SuSx
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 921,,,10,so@adv,weri@adj,of@prep,thin@pron%gen,verrei@adj,leuednesse@n
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 921,,,10,So,wery,of,thy,verray,lewednesse
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 921,,,10,u,Su,S,u,Su,SuSx
data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 921,,,10,so@adv,weri@adj,of@prep,thin@pron%gen,verrei@adj,leuednesse@n

"That, also wisly God my soule blesse,",||,"That, also wisly° God my soule blesse,"
