headword,word,tag,line_number,filename,context,text_type,reason
usen,used,v%pt_pl,The Prioress' Tale 499,data/riverside_cats/PrT_riv.cat,Swich manere doctrine as men used there,RIVERSIDE,Past plural must end in -en or -e
seien,seyn,v%inf,The Prioress' Tale 500,data/riverside_cats/PrT_riv.cat,This is to seyn to syngen and to rede,RIVERSIDE,Infinitive must end in -en or -e
haven,hadde,v%pt_3,The Prioress' Tale 506,data/riverside_cats/PrT_riv.cat,Of Cristes mooder hadde he in usage,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t"
haven,have,v%pr_3,The Prioress' Tale 531,data/riverside_cats/PrT_riv.cat,Answerde hym thus This song I have herd seye,RIVERSIDE,Present 3rd sg must end in -th
don,do,v%inf,The Prioress' Tale 539,data/riverside_cats/PrT_riv.cat,Now certes I wol do my diligence,RIVERSIDE,Infinitive must end in -en or -e
haven,han,v%pr_pl,The Prioress' Tale 567,data/riverside_cats/PrT_riv.cat,An homycide therto han they hyred,RIVERSIDE,Present plural must end in -en or -e
crien,cryde,v%pt_3,The Prioress' Tale 605,data/riverside_cats/PrT_riv.cat,That in that place after hir sone she cryde,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t"
haven,han,v%pr_pl,The Prioress' Tale 661,data/riverside_cats/PrT_riv.cat,As ye han herd and whan that I hadde songe,RIVERSIDE,Present plural must end in -en or -e
haven,hadde,v%pt_1,The Prioress' Tale 661,data/riverside_cats/PrT_riv.cat,As ye han herd and whan that I hadde songe,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t"
haven,hadde,v%pt_3,The Prioress' Tale 673,data/riverside_cats/PrT_riv.cat,And whan this abbot hadde this wonder seyn,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t"
triklen,trikled,v%pt_pl,The Prioress' Tale 674,data/riverside_cats/PrT_riv.cat,His salte teeris trikled doun as reyn,RIVERSIDE,Past plural must end in -en or -e
multiplien,multiplie,v%pr_3,The Prioress' Tale 689,data/riverside_cats/PrT_riv.cat,On us his grete mercy multiplie,RIVERSIDE,Present 3rd sg must end in -th
wenden,went,v%pr_3,Troilus and Criseyde; Book II 36,data/riverside_cats/TC2_riv.cat,For every wight which that to Rome went,RIVERSIDE,Present 3rd sg must end in -th
holden,halt,v%pr_3,Troilus and Criseyde; Book II 37,data/riverside_cats/TC2_riv.cat,Halt nat o path or alwey o manere,RIVERSIDE,Present 3rd sg must end in -th
bitiden,bitidde,v%pt_3,Troilus and Criseyde; Book II 55,data/riverside_cats/TC2_riv.cat,Right in the white Bole it so bitidde,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t"
