headword,word,line_number,filename,context,is_elided,is_final,text_type
mo,moo,Book of the Duchess 266,data/riverside_cats/BD_riv.cat,May wynne of me moo fees thus,False,False,RIVERSIDE
mo,moo,Book of the Duchess 408,data/riverside_cats/BD_riv.cat,To have moo floures swiche seven,False,False,RIVERSIDE
mo,mo,The Clerk's Tale 318,data/riverside_cats/ClT_riv.cat,He stood unnethes seyde he wordes mo,False,True,RIVERSIDE
mo,mo,The Clerk's Tale 449,data/riverside_cats/ClT_riv.cat,Ther fil as it bifalleth tymes mo,False,True,RIVERSIDE
ful,ful,The Clerk's Tale 1183,data/riverside_cats/ClT_riv.cat,O noble wyves ful of heigh prudence,True,False,RIVERSIDE
mo,mo,The Canon's Yeoman's Tale 1255,data/riverside_cats/CYT_riv.cat,Of quyksilver withouten wordes mo,False,True,RIVERSIDE
god,good,The Canon's Yeoman's Tale 1283,data/riverside_cats/CYT_riv.cat,Now good sires what wol ye bet than wel,False,False,RIVERSIDE
ful,ful,The Franklin's Tale 1190,data/riverside_cats/FranT_riv.cat,Forestes parkes ful of wilde deer,True,False,RIVERSIDE
ful,ful,The Franklin's Tale 1368,data/riverside_cats/FranT_riv.cat,Whan thritty tirauntz ful of cursednesse,True,False,RIVERSIDE
ful,ful,The Franklin's Tale 1375,data/riverside_cats/FranT_riv.cat,For which thise woful maydens ful of drede,True,False,RIVERSIDE
mo,mo,The Franklin's Tale 1419,data/riverside_cats/FranT_riv.cat,What sholde I mo ensamples heerof sayn,True,False,RIVERSIDE
mo,mo,The Friar's Tale 1367,data/riverside_cats/FriT_riv.cat,Certeyn he knew of briberyes mo,False,True,RIVERSIDE
mo,mo,The General Prologue 808,data/riverside_cats/GP_riv.cat,Tel me anon withouten wordes mo,False,True,RIVERSIDE
mo,mo,The General Prologue 849,data/riverside_cats/GP_riv.cat,As ye han herd what nedeth wordes mo,False,True,RIVERSIDE
mo,moo,House of Fame 121,data/riverside_cats/HF_riv.cat,In which ther were moo ymages,False,False,RIVERSIDE
mo,moo,House of Fame 124,data/riverside_cats/HF_riv.cat,And with perre moo pynacles,False,False,RIVERSIDE
mo,moo,House of Fame 677,data/riverside_cats/HF_riv.cat,And moo loves newe begonne,False,False,RIVERSIDE
mo,moo,House of Fame 679,data/riverside_cats/HF_riv.cat,And moo loves casuelly,False,False,RIVERSIDE
mo,mo,House of Fame 685,data/riverside_cats/HF_riv.cat,Mo discordes moo jelousies,False,False,RIVERSIDE
mo,moo,House of Fame 685,data/riverside_cats/HF_riv.cat,Mo discordes moo jelousies,False,False,RIVERSIDE
mo,mo,House of Fame 686,data/riverside_cats/HF_riv.cat,Mo murmures and moo novelries,False,False,RIVERSIDE
mo,moo,House of Fame 686,data/riverside_cats/HF_riv.cat,Mo murmures and moo novelries,False,False,RIVERSIDE
mo,moo,House of Fame 687,data/riverside_cats/HF_riv.cat,And moo dissymulacions,False,False,RIVERSIDE
mo,moo,House of Fame 689,data/riverside_cats/HF_riv.cat,And moo berdys in two houres,False,False,RIVERSIDE
mo,moo,House of Fame 693,data/riverside_cats/HF_riv.cat,And also moo renovelaunces,False,False,RIVERSIDE
mo,mo,House of Fame 695,data/riverside_cats/HF_riv.cat,Mo lovedayes and acordes,False,False,RIVERSIDE
mo,moo,House of Fame 697,data/riverside_cats/HF_riv.cat,And eke of loves moo eschaunges,True,False,RIVERSIDE
ful,ful,House of Fame 1304,data/riverside_cats/HF_riv.cat,As corbetz ful of ymageries,True,False,RIVERSIDE
ful,ful,House of Fame 1396,data/riverside_cats/HF_riv.cat,Of songes ful of armonye,True,False,RIVERSIDE
god,good,House of Fame 1616,data/riverside_cats/HF_riv.cat,Good werkes shal yow noght availle,False,False,RIVERSIDE
sori,sory,House of Fame 1632,data/riverside_cats/HF_riv.cat,Han these sory creatures,False,False,RIVERSIDE
most,most,House of Fame 2025,data/riverside_cats/HF_riv.cat,Where thou maist most tidynges here,False,False,RIVERSIDE
mo,mo,The Knight's Tale 1029,data/riverside_cats/KnT_riv.cat,Terme of his lyf what nedeth wordes mo,False,True,RIVERSIDE
mo,mo,The Knight's Tale 1715,data/riverside_cats/KnT_riv.cat,And seyde Sire what nedeth wordes mo,False,True,RIVERSIDE
fair,fairest,The Knight's Tale 2201,data/riverside_cats/KnT_riv.cat,What ladyes fairest been or best daunsynge,False,False,RIVERSIDE
mo,mo,The Knight's Tale 2430,data/riverside_cats/KnT_riv.cat,With othere rytes mo and atte laste,True,False,RIVERSIDE
stark,stark,The Merchant's Tale 1458,data/riverside_cats/MerT_riv.cat,I feele my lymes stark and suffisaunt,True,False,RIVERSIDE
wise,wyser,The Merchant's Tale 1569,data/riverside_cats/MerT_riv.cat,Of scoletermes Wyser men than thow,False,False,RIVERSIDE
fresh,fressh,The Merchant's Tale 2235,data/riverside_cats/MerT_riv.cat,Upon a bench of turves fressh and grene,True,False,RIVERSIDE
ful,ful,The Miller's Tale 3237,data/riverside_cats/MilT_riv.cat,Upon hir lendes ful of many a goore,True,False,RIVERSIDE
mo,mo,The Miller's Tale 3408,data/riverside_cats/MilT_riv.cat,And right anon withouten wordes mo,False,True,RIVERSIDE
mo,mo,The Miller's Tale 3650,data/riverside_cats/MilT_riv.cat,Withouten wordes mo they goon to bedde,False,False,RIVERSIDE
mo,mo,The Miller's Tale 3819,data/riverside_cats/MilT_riv.cat,He sit hym up withouten wordes mo,False,True,RIVERSIDE
long,long,The Monk's Tale 2160,data/riverside_cats/MkT_riv.cat,Sixty cubites long and sevene in brede,True,False,RIVERSIDE
proud,proud,The Monk's Tale 2167,data/riverside_cats/MkT_riv.cat,This kyng of kynges proud was and elaat,False,False,RIVERSIDE
whit,whitter,The Nun's Priest's Tale 2863,data/riverside_cats/NPT_riv.cat,His nayles whitter than the lylye flour,False,False,RIVERSIDE
mo,mo,The Pardoner's Tale 678,data/riverside_cats/PardT_riv.cat,And wente his wey withouten wordes mo,False,True,RIVERSIDE
