OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
God turne us every drem to goode!,¶God turne us every dreem to gode!°,data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 1,,10,10,God turne us every drem to goode,God turne us every dreem to gode,u Su S uSu S u Sx,u Su S uSu S u Sx,god@n1#propn turnen@v%pr_3 us@pron%pl_obj everi@pron_gram_adj drem@n2 to@prep god@n2,god@n1#propn turnen@v%pr_3 us@pron%pl_obj everi@pron_gram_adj drem@n2 to@prep god@n2,
"For hyt is wonder, be the roode","For it is wonder, be the rode,°",data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 2,,0,0,For hyt is wonder be the roode,For it is wonder be the rode,      ,      ,for@conj hit@pron ben@v%pr_3 wonder@n bi@prep the@def_art rode@n5,for@conj hit@pron ben@v%pr_3 wonder@n bi@prep the@def_art rode@n5,
"To my wyt, what causeth swevenes","To my wit, what causeth swevens°",data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 3,,9,0,To my wyt what causeth swevenes,To my wit what causeth swevens,S u S u Su SuS,     ,to@prep min@pron%gen wit@n what@pron causen@v1%pr_3 sweven@n%pl,to@prep min@pron%gen wit@n what@pron causen@v1%pr_3 sweven@n%pl,
Eyther on morwes or on evenes,"Either on morwes, or on evens;°",data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 4,,10,9,Eyther on morwes or on evenes,Either on morwes or on evens,uS u Su S u SuS,Su S uS u S uS,either@conj on@prep morwe@n%pl or@conj on@prep even@n%pl,either@conj on@prep morwe@n%pl or@conj on@prep even@n%pl,
And why th' effect folweth of somme,"And why the effect folweth of somme,°",data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 5,,0,9,And why th effect folweth of somme,And why the effect folweth of somme,      ,S u S uS uS u Sx,and@conj whi@adv the@def_art effect@n folwen@v%pr_3 of@prep som@pron,and@conj whi@adv the@def_art effect@n folwen@v%pr_3 of@prep som@pron,
And of somme hit shal never come;,And of somme it shal never come;,data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 6,,9,9,And of somme hit shal never come,And of somme it shal never come,S u Su S u Su Sx,S u Su S u Su Sx,and@conj of@prep som@pron hit@pron shulen@v1%pr_3 never@adv comen@v%inf,and@conj of@prep som@pron hit@pron shulen@v1%pr_3 never@adv comen@v%inf,
Why that is an avision,"Why that is an avisioun,°",data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 7,,0,0,Why that is an avision,Why that is an avisioun,    ,    ,whi@adv that@pron ben@v%pr_3 a@indef_art avisioun@n,whi@adv that@pron ben@v%pr_3 a@indef_art avisioun@n,
And why this a revelacion,"And this a revelacioun,°",data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 8,DIFF,9,0,And why this a revelacion,And this a revelacioun,S u S u SuSuS,   ,and@conj whi@adv this@pron a@indef_art revelacioun@n,and@conj this@pron a@indef_art revelacioun@n,green
"Why this a drem, why that a sweven","Why this a dreem, why that a sweven",data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 9,,9,9,Why this a drem why that a sweven,Why this a dreem why that a sweven,S u S u S u S uS,S u S u S u S uS,whi@adv this@pron a@indef_art drem@n2 whi@adv that@pron a@indef_art sweven@n,whi@adv this@pron a@indef_art drem@n2 whi@adv that@pron a@indef_art sweven@n,
And noght to every man lyche even;,And nought to every man liche even;°,data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 10,,10,10,And noght to every man lyche even,And nought to every man liche even,u S u SuS u Sx uS,u S u SuS u Sx uS,and@conj nought@adv to@prep everi@pron_gram_adj man@n like@adv even@adj,and@conj nought@adv to@prep everi@pron_gram_adj man@n like@adv even@adj,
