headword,word,line_number,filename,context,is_elided,is_final,text_type
foul,foule,The Prioress' Tale 491,data/riverside_cats/PrT_riv.cat,For foule usure and lucre of vileynye,True,False,RIVERSIDE
fre,free,The Prioress' Tale 494,data/riverside_cats/PrT_riv.cat,For it was free and open at eyther ende,True,False,RIVERSIDE
dere,deere,The Prioress' Tale 510,data/riverside_cats/PrT_riv.cat,Oure blisful Lady Cristes mooder deere,False,True,RIVERSIDE
tender,tendre,The Prioress' Tale 524,data/riverside_cats/PrT_riv.cat,For he so yong and tendre was of age,False,False,RIVERSIDE
fre,free,The Prioress' Tale 532,data/riverside_cats/PrT_riv.cat,Was maked of our blisful Lady free,False,True,RIVERSIDE
prive,privee,The Prioress' Tale 568,data/riverside_cats/PrT_riv.cat,That in an aleye hadde a privee place,False,False,RIVERSIDE
neue,newe,The Prioress' Tale 574,data/riverside_cats/PrT_riv.cat,O cursed folk of Herodes al newe,False,True,RIVERSIDE
neue,newe,The Prioress' Tale 584,data/riverside_cats/PrT_riv.cat,Biforn this Lamb and synge a song al newe,False,True,RIVERSIDE
pale,pale,The Prioress' Tale 589,data/riverside_cats/PrT_riv.cat,With face pale of drede and bisy thoght,True,False,RIVERSIDE
mek,meeke,The Prioress' Tale 597,data/riverside_cats/PrT_riv.cat,And evere on Cristes mooder meeke and kynde,True,False,RIVERSIDE
kinde,kynde,The Prioress' Tale 597,data/riverside_cats/PrT_riv.cat,And evere on Cristes mooder meeke and kynde,False,True,RIVERSIDE
dere,deere,The Prioress' Tale 654,data/riverside_cats/PrT_riv.cat,And for the worship of his Mooder deere,False,True,RIVERSIDE
swete,sweete,The Prioress' Tale 656,data/riverside_cats/PrT_riv.cat,This welle of mercy Cristes mooder sweete,False,True,RIVERSIDE
fre,free,The Prioress' Tale 664,data/riverside_cats/PrT_riv.cat,In honour of that blisful Mayden free,False,True,RIVERSIDE
swete,sweete,The Prioress' Tale 682,data/riverside_cats/PrT_riv.cat,Enclosen they his litel body sweete,False,True,RIVERSIDE
lame,lame,Troilus and Criseyde; Book II 17,data/riverside_cats/TC2_riv.cat,Disblameth me if any word be lame,False,True,RIVERSIDE
whit,white,Troilus and Criseyde; Book II 51,data/riverside_cats/TC2_riv.cat,That fresshe floures blew and white and rede,True,False,RIVERSIDE
red,rede,Troilus and Criseyde; Book II 51,data/riverside_cats/TC2_riv.cat,That fresshe floures blew and white and rede,False,True,RIVERSIDE
quik,quike,Troilus and Criseyde; Book II 52,data/riverside_cats/TC2_riv.cat,Ben quike agayn that wynter dede made,True,False,RIVERSIDE
ded,dede,Troilus and Criseyde; Book II 52,data/riverside_cats/TC2_riv.cat,Ben quike agayn that wynter dede made,False,False,RIVERSIDE
grene,greene,Troilus and Criseyde; Book II 60,data/riverside_cats/TC2_riv.cat,It made his hewe aday ful ofte greene,False,True,RIVERSIDE
bar,bare,Troilus and Criseyde; Book II 110,data/riverside_cats/TC2_riv.cat,Do wey youre barbe and shew youre face bare,False,True,RIVERSIDE
wilde,wylde,Troilus and Criseyde; Book II 116,data/riverside_cats/TC2_riv.cat,Ye ben so wylde it semeth as ye rave,True,False,RIVERSIDE
dere,deere,Troilus and Criseyde; Book II 122,data/riverside_cats/TC2_riv.cat,Now uncle deere quod she telle it us,False,False,RIVERSIDE
lene,leene,Troilus and Criseyde; Book II 132,data/riverside_cats/TC2_riv.cat,My wit is for t arede it al to leene,False,True,RIVERSIDE
voide,voide,Troilus and Criseyde; Book II 173,data/riverside_cats/TC2_riv.cat,Thei ben as voide of vices dar I seye,True,False,RIVERSIDE
thikke,thikke,Troilus and Criseyde; Book II 193,data/riverside_cats/TC2_riv.cat,For nevere yet so thikke a swarm of been,True,False,RIVERSIDE
fremed,fremde,Troilus and Criseyde; Book II 248,data/riverside_cats/TC2_riv.cat,Lat be to me youre fremde manere speche,False,False,RIVERSIDE
