folder,file,line_number,oxford_text,green_scansion,v2_scansion,ranked_scansion
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 27,Eek for to winne love in sondry ages,u S u Su S u Su Sx,u S u Sx ux S uS uS,u S u Su Sx u Su Sx
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 28,In sondry londes sondry ben usages,u Su Su Su S uSx,u Su Su Su S uSu,u Su Su Su S uSx
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 31,That herkeneth as the story wol devise,u Sux S u Su S uSx,u SuS u S uS u Sux,u Sux S u Su S uSx
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 41,In visitinge in forme or seide hir sawes,u SuSx u Sx u Sx u Sx,u SuSx u Sx u Sx u Su,u SuSx u Sx u Sx u Sx
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 42,Forthi men seyn ech contree hath his lawes,uS u S u Su S u Sx,uS u S u Su S u Su,uS u S u Su S u Sx
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 59,That coude he never so wel of loving preche,u Sx u S u S u Su Sx,u Sx u Su S u S uS ux,u Sx u S u S u Su Sx
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 63,And made er it was day ful many a wente,u Sx u S u S u Sx u Sx,u Sx u S u S u Su S ux,u Sx u S u S u Sx u Sx
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 114,Is that a widewes lif so God you save,u S u Sux S u S u Sx,u S u SuS u S u S ux,u S u Sux S u S u Sx
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 118,To bidde and rede on holy seintes lives,u Sx u Sx u Su Su Sx,u Sx u Sx u Su Su Su,u Sx u Sx u Su Su Sx
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 124,I am of Grekes so fered that I deie,u S u Su S ux S u S,u S u Su S uS u S u,u S u Su S ux S u S
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 132,My wit is for to arede it al to lene,u S u S u xS u S u S,u S u S u Sux S u S ux,u S u S u Sxx u S u Sx
