headword,word,line_number,filename,context,is_elided,is_final,text_type
mo,moo,Book of the Duchess 266,data/riverside_cats/BD_riv.cat,May wynne of me moo fees thus,False,False,RIVERSIDE
mo,moo,Book of the Duchess 408,data/riverside_cats/BD_riv.cat,To have moo floures swiche seven,False,False,RIVERSIDE
god,good,The Canon's Yeoman's Tale 1283,data/riverside_cats/CYT_riv.cat,Now good sires what wol ye bet than wel,False,False,RIVERSIDE
mo,moo,House of Fame 121,data/riverside_cats/HF_riv.cat,In which ther were moo ymages,False,False,RIVERSIDE
mo,moo,House of Fame 124,data/riverside_cats/HF_riv.cat,And with perre moo pynacles,False,False,RIVERSIDE
mo,moo,House of Fame 677,data/riverside_cats/HF_riv.cat,And moo loves newe begonne,False,False,RIVERSIDE
mo,moo,House of Fame 679,data/riverside_cats/HF_riv.cat,And moo loves casuelly,False,False,RIVERSIDE
mo,mo,House of Fame 685,data/riverside_cats/HF_riv.cat,Mo discordes moo jelousies,False,False,RIVERSIDE
mo,moo,House of Fame 685,data/riverside_cats/HF_riv.cat,Mo discordes moo jelousies,False,False,RIVERSIDE
mo,mo,House of Fame 686,data/riverside_cats/HF_riv.cat,Mo murmures and moo novelries,False,False,RIVERSIDE
mo,moo,House of Fame 686,data/riverside_cats/HF_riv.cat,Mo murmures and moo novelries,False,False,RIVERSIDE
mo,moo,House of Fame 687,data/riverside_cats/HF_riv.cat,And moo dissymulacions,False,False,RIVERSIDE
mo,moo,House of Fame 689,data/riverside_cats/HF_riv.cat,And moo berdys in two houres,False,False,RIVERSIDE
mo,moo,House of Fame 693,data/riverside_cats/HF_riv.cat,And also moo renovelaunces,False,False,RIVERSIDE
mo,mo,House of Fame 695,data/riverside_cats/HF_riv.cat,Mo lovedayes and acordes,False,False,RIVERSIDE
god,good,House of Fame 1616,data/riverside_cats/HF_riv.cat,Good werkes shal yow noght availle,False,False,RIVERSIDE
sori,sory,House of Fame 1632,data/riverside_cats/HF_riv.cat,Han these sory creatures,False,False,RIVERSIDE
most,most,House of Fame 2025,data/riverside_cats/HF_riv.cat,Where thou maist most tidynges here,False,False,RIVERSIDE
fair,fairest,The Knight's Tale 2201,data/riverside_cats/KnT_riv.cat,What ladyes fairest been or best daunsynge,False,False,RIVERSIDE
wise,wyser,The Merchant's Tale 1569,data/riverside_cats/MerT_riv.cat,Of scoletermes Wyser men than thow,False,False,RIVERSIDE
mo,mo,The Miller's Tale 3650,data/riverside_cats/MilT_riv.cat,Withouten wordes mo they goon to bedde,False,False,RIVERSIDE
proud,proud,The Monk's Tale 2167,data/riverside_cats/MkT_riv.cat,This kyng of kynges proud was and elaat,False,False,RIVERSIDE
whit,whitter,The Nun's Priest's Tale 2863,data/riverside_cats/NPT_riv.cat,His nayles whitter than the lylye flour,False,False,RIVERSIDE
mo,mo,Parliament of Fowls 595,data/riverside_cats/PF_riv.cat,There been mo sterres God wot than a payre,False,False,RIVERSIDE
mo,mo,The Squire's Tale 301,data/riverside_cats/SqT_riv.cat,And deyntees mo than been in my knowyng,False,False,RIVERSIDE
hot,hotter,Troilus and Criseyde; Book IV 337,data/riverside_cats/TC4_riv.cat,A thousand sikes hotter than the gleede,False,False,RIVERSIDE
mo,mo,The Wife of Bath's Prologue 36,data/riverside_cats/WBPro_riv.cat,I trowe he hadde wyves mo than oon,False,False,RIVERSIDE
mo,mo,The Wife of Bath's Prologue 57,data/riverside_cats/WBPro_riv.cat,And ech of hem hadde wyves mo than two,False,False,RIVERSIDE
mo,mo,The Wife of Bath's Prologue 179,data/riverside_cats/WBPro_riv.cat,For I shal telle ensamples mo than ten,False,False,RIVERSIDE
mo,mo,The Wife of Bath's Prologue 686,data/riverside_cats/WBPro_riv.cat,He knew of hem mo legendes and lyves,False,False,RIVERSIDE
mo,mo,The Wife of Bath's Prologue 773,data/riverside_cats/WBPro_riv.cat,And therwithal he knew of mo proverbes,False,False,RIVERSIDE
