source_file,exception_count,rule,headword,word,tag,line_number,filename,context,text_type
ShipT_gui_complete.csv,153,RULE_13_ADV_NO_E,whilom,whilom,adv,The Shipman's Tale 1,data/riverside_cats/ShipT_riv.cat,A marchant whilom dwelled at SeintDenys,RIVERSIDE
ShipT_gui_complete.csv,153,RULE_13_ADV_NO_E,al,al,adv,The Shipman's Tale 13,data/riverside_cats/ShipT_riv.cat,Al for his owene worshipe richely,RIVERSIDE
ShipT_gui_complete.csv,153,RULE_13_ADV_NO_E,nought,noght,adv,The Shipman's Tale 15,data/riverside_cats/ShipT_riv.cat,And if that he noght may par aventure,RIVERSIDE
ShipT_gui_complete.csv,153,RULE_13_ADV_NO_E,elles,ellis,adv,The Shipman's Tale 16,data/riverside_cats/ShipT_riv.cat,Or ellis list no swich dispence endure,RIVERSIDE
ShipT_gui_complete.csv,153,RULE_13_ADV_NO_E,al_dai,alday,adv,The Shipman's Tale 21,data/riverside_cats/ShipT_riv.cat,For which he hadde alday so greet repair,RIVERSIDE
ShipT_gui_complete.csv,153,RULE_13_ADV_NO_E,so,so,adv,The Shipman's Tale 21,data/riverside_cats/ShipT_riv.cat,For which he hadde alday so greet repair,RIVERSIDE
ShipT_gui_complete.csv,153,RULE_13_ADV_NO_E,ther,ther,adv,The Shipman's Tale 25,data/riverside_cats/ShipT_riv.cat,Ther was a monk a fair man and a boold,RIVERSIDE
ShipT_gui_complete.csv,153,RULE_13_ADV_NO_E,so,so,adv,The Shipman's Tale 28,data/riverside_cats/ShipT_riv.cat,This yonge monk that was so fair of face,RIVERSIDE
ShipT_gui_complete.csv,153,RULE_13_ADV_NO_E,so,so,adv,The Shipman's Tale 29,data/riverside_cats/ShipT_riv.cat,Aqueynted was so with the goode man,RIVERSIDE
ShipT_gui_complete.csv,153,RULE_13_ADV_NO_E,ek,eek,adv,The Shipman's Tale 34,data/riverside_cats/ShipT_riv.cat,And eek this monk of which that I bigan,RIVERSIDE
ShipT_gui_complete.csv,153,RULE_13_ADV_NO_E,ayen,agayn,adv,The Shipman's Tale 37,data/riverside_cats/ShipT_riv.cat,And he agayn he seith nat ones nay,RIVERSIDE
ShipT_gui_complete.csv,153,RULE_13_ADV_NO_E,ones,ones,adv,The Shipman's Tale 37,data/riverside_cats/ShipT_riv.cat,And he agayn he seith nat ones nay,RIVERSIDE
ShipT_gui_complete.csv,153,RULE_13_ADV_NO_E,thus,thus,adv,The Shipman's Tale 40,data/riverside_cats/ShipT_riv.cat,Thus been they knyt with eterne alliaunce,RIVERSIDE
ShipT_gui_complete.csv,153,RULE_13_ADV_NO_E,also,also,adv,The Shipman's Tale 45,data/riverside_cats/ShipT_riv.cat,To doon plesaunce and also greet costage,RIVERSIDE
ShipT_gui_complete.csv,153,RULE_13_ADV_NO_E,nought,noght,adv,The Shipman's Tale 46,data/riverside_cats/ShipT_riv.cat,He noght forgat to yeve the leeste page,RIVERSIDE
ShipT_gui_complete.csv,153,RULE_13_ADV_NO_E,whan,whan,adv&conj,The Shipman's Tale 49,data/riverside_cats/ShipT_riv.cat,Whan that he cam som manere honest thyng,RIVERSIDE
ShipT_gui_complete.csv,153,RULE_13_ADV_NO_E,whan,whan,adv&conj,The Shipman's Tale 51,data/riverside_cats/ShipT_riv.cat,As fowel is fayn whan that the sonne up riseth,RIVERSIDE
ShipT_gui_complete.csv,153,RULE_13_ADV_NO_E,up,up,adv,The Shipman's Tale 51,data/riverside_cats/ShipT_riv.cat,As fowel is fayn whan that the sonne up riseth,RIVERSIDE
ShipT_gui_complete.csv,153,RULE_13_ADV_NO_E,nou,now,adv,The Shipman's Tale 52,data/riverside_cats/ShipT_riv.cat,Na moore of this as now for it suffiseth,RIVERSIDE
ShipT_gui_complete.csv,153,RULE_13_ADV_NO_E,so,so,adv,The Shipman's Tale 53,data/riverside_cats/ShipT_riv.cat,But so bifel this marchant on a day,RIVERSIDE
ShipT_gui_complete.csv,153,RULE_13_ADV_NO_E,an-on,anon,adv,The Shipman's Tale 57,data/riverside_cats/ShipT_riv.cat,For which he hath to Parys sent anon,RIVERSIDE
ShipT_gui_complete.csv,153,RULE_13_ADV_NO_E,oute,out,adv,The Shipman's Tale 65,data/riverside_cats/ShipT_riv.cat,And eek an officer out for to ryde,RIVERSIDE
ShipT_gui_complete.csv,153,RULE_13_ADV_NO_E,an-on,anon,adv,The Shipman's Tale 67,data/riverside_cats/ShipT_riv.cat,And unto SeintDenys he comth anon,RIVERSIDE
ShipT_gui_complete.csv,153,RULE_13_ADV_NO_E,so,so,adv,The Shipman's Tale 68,data/riverside_cats/ShipT_riv.cat,Who was so welcome as my lord daun John,RIVERSIDE
ShipT_gui_complete.csv,153,RULE_13_ADV_NO_E,ai,ay,adv,The Shipman's Tale 72,data/riverside_cats/ShipT_riv.cat,And volatyl as ay was his usage,RIVERSIDE
ShipT_gui_complete.csv,153,RULE_13_ADV_NO_E,hou,how,adv&conj,The Shipman's Tale 79,data/riverside_cats/ShipT_riv.cat,Of thilke yeer how that it with hym stood,RIVERSIDE
ShipT_gui_complete.csv,153,RULE_13_ADV_NO_E,hou,how,adv&conj,The Shipman's Tale 80,data/riverside_cats/ShipT_riv.cat,And how that he despended hadde his good,RIVERSIDE
ShipT_gui_complete.csv,153,RULE_13_ADV_NO_E,non,noon,adv1,The Shipman's Tale 81,data/riverside_cats/ShipT_riv.cat,And if that he encressed were or noon,RIVERSIDE
