rank,folder,file,line_number,oxford_text,current_confidence,current_scansion,gain,needed_words
1,to_complete,KnT_gui.csv,The Knight's Tale 2922,Wilow elm plane ash box chastein lind laurer,0.00,uS u Sx u S uS u Sx,80,"ash(0), box(0), chastein(0), elm(0), laurer(0), lind(0), plane(0), wilow(0)"
2,to_complete,PF_gui.csv,Parliament of Fowls 499,So criden Kek kek Kukkow Quek quek hie,20.93,u Su S u Su S u S,67,"criden(0), kek(0), kukkow(0), quek(0), hie(3)"
3,to_complete,KnT_gui.csv,The Knight's Tale 2921,As ook fir birch asp alder holm popler,21.50,u S u S u Su S uS,66,"alder(0), asp(0), birch(0), holm(0), popler(0), fir(1), ook(3)"
4,to_complete,ShipT_gui.csv,07-0-ch 187,Daun John I sey leen me thes hundred frankes,21.25,u S u S u S u Su Sx,60,"daun(0), frankes(0), hundred(0), john(0), leen(0), thes(0)"
5,to_complete,KnT_gui.csv,The Knight's Tale 2923,Mapul thorn beech hasel ew whippeltree,0.00,uS u S uS u SuS,59,"beech(0), ew(0), hasel(0), mapul(0), whippeltree(0), thorn(1)"
6,to_complete,CYT_gui.csv,The Canon's Yeoman's Tale 807,Poudres diverse asshes dong pisse and cley,12.86,uS uSx uS u Sx u S,59,"asshes(0), cley(0), diverse(0), pisse(0), poudres(0), dong(1)"
7,to_complete,SumT_gui.csv,The Summoner's Tale 1832,O Thomas Je vous dy Thomas Thomas,39.93,u Su S u S uS uS,57,"dy(0), je(0), vous(0), thomas(1)"
8,to_complete,MancPro_gui.csv,Prologue to the Manciple's Tale 40,Fy stinking swin fy foule moot thee falle,41.84,u Su S u Su S u Sx,57,"foule(0), fy(0), stinking(0), swin(1), falle(4), moot(8)"
9,to_complete,RvT_gui.csv,The Reeve's Tale 4101,With Keep keep stand stand jossa warderere,23.27,u S u S u Su SuSx,56,"jossa(0), stand(0), warderere(0), keep(2)"
10,to_complete,LGW_gui.csv,100-ch 1275,Sende her lettres tokens broches ringes,16.67,ux S uS uS uS uS,56,"broches(0), ringes(0), tokens(0), her(1), lettres(1), sende(2)"
11,to_complete,CYT_gui.csv,The Canon's Yeoman's Tale 813,Of tartre alum glas berm wort and argoile,9.94,u Sx uS u S u S uSx,56,"alum(0), argoile(0), berm(0), wort(0), tartre(1), glas(3)"
12,to_complete,WBPro_gui.csv,The Wife of Bath's Prologue 89,For peril is both fir and tow t assemble,44.93,u Su S u S u S  uSx,55,"assemble(0), both(0), tow(0), t(1), fir(1), peril(2)"
13,to_complete,TC5_gui.csv,Troilus and Criseyde; Book V 1374,Of sorweful teres salte arn waxen welles,9.94,u SuS ux Sx u Su Sx,55,"arn(0), sorweful(0), waxen(0), welles(0), salte(2), teres(3)"
14,to_complete,FriT_gui.csv,The Friar's Tale 1543,Hait Brok hait Scot what spare ye for the stones,44.78,u S u S u Sx u S u Sx,54,"brok(0), hait(0), scot(1), spare(2), stones(3)"
15,to_complete,ShipT_gui.csv,07-0-ch 402,Mary I defy the false monk daun John,40.22,ux S uS u Su S u S,53,"defy(0), mary(0), daun(0), false(1), john(0), monk(4)"
16,to_complete,ClT_gui.csv,The Clerk's Tale 170,Again my chois shul neither grucche ne strive,46.54,uS u S u Su Sx u Sx,52,"chois(0), grucche(0), strive(0), shul(1), again(3), neither(4)"
17,to_complete,CYPro_gui.csv,Prologue to the Canon's Yeoman's Tale 659,Wheras thes robbours and thes theves by kinde,23.21,xu S uS u S uS u Sx,52,"robbours(0), theves(0), wheras(0), thes(0), kinde(6)"
18,to_complete,FranT_gui.csv,The Franklin's Tale 1367,Yis certes lo thise stories bere witnesse,37.86,u Su S ux SuS xx uSx,52,"stories(0), witnesse(0), certes(1), bere(2), yis(2), thise(3)"
19,to_complete,RvT_gui.csv,The Reeve's Tale 4026,Simond quod John by God nede has na peer,22.79,uS u S u S ux S u S,51,"has(0), na(0), peer(0), simond(0), john(0), nede(7)"
20,to_complete,SumT_gui.csv,The Summoner's Tale 1838,Now dame quod he now Je vous dy sanz doute,41.34,u Sx u S u S u S u Sx,51,"sanz(0), dy(0), je(0), vous(0), dame(3), doute(3)"
21,to_complete,RvT_gui.csv,The Reeve's Tale 4130,Slik as he finds or taa slik as he bringes,27.70,u S u S u S u S u Sx,50,"bringes(0), finds(0), slik(0), taa(0)"
22,to_complete,TC5_gui.csv,Troilus and Criseyde; Book V 1493,Whan Tideus slough fifty knightes stoute,9.82,u SuS u Su Su Sx,50,"fifty(0), knightes(0), slough(0), stoute(0), tideus(0)"
23,to_complete,TC5_gui.csv,Troilus and Criseyde; Book V 1792,Virgile Ovide Omer Lucan and Stace,15.01,uSx uSx uS uS u Sx,50,"lucan(0), omer(0), ovide(0), stace(0), virgile(0)"
24,to_complete,RvT_gui.csv,The Reeve's Tale 4308,Thise clerkes bete him weel and lete him lie,68.22,ux Su Sx u S u Sx u S,50,"bete(0), clerkes(0), lete(1), weel(1), lie(4), thise(3)"
25,to_complete,LGW_gui.csv,100-ch 1747,Her yelow heer her shap and her manere,70.35,u Su S u S u S uSx,50,"shap(1), yelow(1), heer(2), her(1)"
26,to_complete,TC4_gui.csv,Troilus and Criseyde; Book IV 184,As breme as blase of straw yset on fire,28.43,u Sx u Sx u S uS u Sx,50,"blase(0), breme(0), fire(0), straw(0), yset(0)"
27,to_complete,KnT_gui.csv,The Knight's Tale 2712,Some hadden salves and some hadden charmes,48.58,ux Su Sx u Su Su Sx,50,"charmes(0), salves(0), hadden(1), some(4)"
28,to_complete,FranT_gui.csv,The Franklin's Tale 819,She moorneth waketh waileth fasteth pleineth,9.03,u Su Su Su Su Sx,50,"fasteth(0), moorneth(0), pleineth(0), waileth(0), waketh(0)"
29,to_complete,MilT_gui.csv,The Miller's Tale 3748,With dust with sond with straw with clooth with chippes,31.46,u S u S u S u S u Sx,49,"chippes(0), clooth(0), dust(0), sond(0), straw(0)"
30,to_complete,WBT_gui.csv,The Wife of Bath's Tale 869,Blessinge halls chambres kichens boures,0.00,uSu S uS uS uS,49,"blessinge(0), boures(0), halls(0), kichens(0), chambres(1)"
31,in_progress,BD_gui_in_progress.csv,Book of the Duchess 51,Then play either at chesse or tables,19.74,u S uS u Sx u Sx,49,"chesse(0), play(0), tables(0), then(0), either(1)"
32,to_complete,KnT_gui.csv,The Knight's Tale 2012,Armed Compleint Outhees and Fiers Outrage,1.66,ux Su Su S uS uSx,49,"compleint(0), fiers(0), outhees(0), outrage(0), armed(1)"
33,to_complete,FranT_gui.csv,The Franklin's Tale 1195,He saugh whan voided wer thise wilde deer,53.24,u S u Su S ux Su S,49,"wer(0), deer(1), wilde(1), saugh(2), voided(2), thise(3)"
34,to_complete,MancT_gui.csv,The Manciple's Tale 243,This crowe sang Cokkow Cokkow Cokkow,26.70,u Su S uS uS uS,49,"cokkow(0), crowe(0), sang(1)"
35,to_complete,RvT_gui.csv,The Reeve's Tale 4027,Him bos serve himselve that has na swain,12.24,u S ux Sux S u S u,49,"bos(0), swain(0), has(0), na(0), himselve(3), serve(6)"
36,to_complete,WBT_gui.csv,The Wife of Bath's Tale 870,Citees burghes castels hye toures,0.00,uS uS uS uS ux,49,"burghes(0), castels(0), citees(0), toures(0), hye(1)"
37,to_complete,LGW_gui.csv,100-ch 641,Among the ropes rennen the shering hokes,40.71,uS u Sx uS u Su Sx,49,"hokes(0), rennen(0), ropes(0), shering(0), among(1)"
38,to_complete,CYT_gui.csv,The Canon's Yeoman's Tale 808,Cered pokets sal peter vitriole,20.00,uS uS u Su SuSx,49,"cered(0), pokets(0), sal(0), vitriole(0), peter(1)"
39,to_complete,RvT_gui.csv,The Reeve's Tale 4266,Swived the millers doghter bolt upright,32.08,uS u Su Su S uS,49,"bolt(0), doghter(0), millers(0), swived(0), upright(1)"
40,to_complete,PF_gui.csv,Parliament of Fowls 178,The boxtree piper holm to whippes lasshe,24.85,u Su Su S u Su Sx,49,"boxtree(0), lasshe(0), piper(0), whippes(0), holm(0)"
41,to_complete,RvT_gui.csv,The Reeve's Tale 4076,This Alein al forgat both mele and corn,39.50,u Su S uS u Sx u S,48,"alein(0), forgat(0), mele(0), both(0), corn(1)"
42,to_complete,PardT_gui.csv,The Pardoner's Tale 955,Thay shul be shrined in an hogges tord,36.88,u S u Su S u Su S,48,"hogges(0), shrined(0), thay(0), tord(0), shul(1)"
43,to_complete,PardT_gui.csv,The Pardoner's Tale 770,Of florins fine of golde ycoined rounde,27.02,u Su Sx u Sx uSu Sx,48,"florins(0), golde(0), rounde(0), ycoined(0), fine(2)"
