OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
"Thou ferse god of armes, Mars the rede","Thou ferse° god of armes, Mars the rede",data/riverside_cats/Anelida_riv.cat,data/oxford_txts/Anelida_oxford.txt,data/csvs/Anelida,Anelida and Arcite 1,,10,10,Thou ferse god of armes Mars the rede,Thou ferse god of armes Mars the rede,u Su S u Su S u Sx,u Su S u Su S u Sx,thou@pron%nom fers@adj god@n1 of@prep armes@n%pl mars@n#propn the@def_art red@adj,thou@pron%nom fers@adj god@n1 of@prep armes@n%pl mars@n#propn the@def_art red@adj,green
That in the frosty contre called Trace,"That in the frosty contre called Trace,°",data/riverside_cats/Anelida_riv.cat,data/oxford_txts/Anelida_oxford.txt,data/csvs/Anelida,Anelida and Arcite 2,,9,9,That in the frosty contre called Trace,That in the frosty contre called Trace,S u S u Su Su Sx,S u S u Su Su Sx,that@pron in@prep the@def_art frosti@adj contree@n callen@v%ppl_abs trace@n3#propn,that@pron in@prep the@def_art frosti@adj contree@n callen@v%ppl_abs trace@n3#propn,
Within thy grisly temple ful of drede,Within thy grisly temple ful of drede°,data/riverside_cats/Anelida_riv.cat,data/oxford_txts/Anelida_oxford.txt,data/csvs/Anelida,Anelida and Arcite 3,,0,0,Within thy grisly temple ful of drede,Within thy grisly temple ful of drede,      ,      ,with-inne@prep thin@pron%gen grisli@adj temple@n1 ful@adj of@prep drede@n,with-inne@prep thin@pron%gen grisli@adj temple@n1 ful@adj of@prep drede@n,
Honoured art as patroun of that place;,"Honoured art, as patroun° of that place!",data/riverside_cats/Anelida_riv.cat,data/oxford_txts/Anelida_oxford.txt,data/csvs/Anelida,Anelida and Arcite 4,,10,10,Honoured art as patroun of that place,Honoured art as patroun of that place,uSu S u Su S u Sx,uSu S u Su S u Sx,honouren@v%ppl ben@v%pr_2 as@conj patroun@n of@prep that@art&gram_adj place@n,honouren@v%ppl ben@v%pr_2 as@conj patroun@n of@prep that@art&gram_adj place@n,
"With thy Bellona, Pallas, ful of grace","With thy Bellona, Pallas, ful of grace",data/riverside_cats/Anelida_riv.cat,data/oxford_txts/Anelida_oxford.txt,data/csvs/Anelida,Anelida and Arcite 5,,9,9,With thy Bellona Pallas ful of grace,With thy Bellona Pallas ful of grace,S  uSu Su S u Sx,S  uSu Su S u Sx,with@prep thin@pron%gen bellona@n#propn pallas@n#propn ful@adj of@prep grace@n,with@prep thin@pron%gen bellona@n#propn pallas@n#propn ful@adj of@prep grace@n,
Be present and my song contynue and guye;,"Be present, and my song continue and gie;°",data/riverside_cats/Anelida_riv.cat,data/oxford_txts/Anelida_oxford.txt,data/csvs/Anelida,Anelida and Arcite 6,,9,10,Be present and my song contynue and guye,Be present and my song continue and gie,S uS u  S uS u Sx,u Su S  u SuS u S,ben@v%imp presente@adj and@conj min@pron%gen song@n continuen@v%imp and@conj gien@v%imp,ben@v%imp presente@adj and@conj min@pron%gen song@n continuen@v%imp and@conj gien@v%imp,
At my begynnyng thus to the I crye.,At my beginning thus to thee I crie.,data/riverside_cats/Anelida_riv.cat,data/oxford_txts/Anelida_oxford.txt,data/csvs/Anelida,Anelida and Arcite 7,,0,9,At my begynnyng thus to the I crye,At my beginning thus to thee I crie,       ,S  uSu S u S u S,at@prep min@pron%gen biginninge@ger thus@adv to@prep the@pron2%obj ich@pron%nom crien@v%pr_1,at@prep min@pron%gen biginninge@ger thus@adv to@prep the@pron2%obj ich@pron%nom crien@v%pr_1,
For hit ful depe is sonken in my mynde,For it ful depe is sonken in my minde,data/riverside_cats/Anelida_riv.cat,data/oxford_txts/Anelida_oxford.txt,data/csvs/Anelida,Anelida and Arcite 8,,10,10,For hit ful depe is sonken in my mynde,For it ful depe is sonken in my minde,u S u Su S uS u  S,u S u Su S uS u  Sx,for@conj hit@pron ful@adv depe@adv ben@v%pr_3 sinken@v%ppl in@prep min@pron%gen minde@n1,for@conj hit@pron ful@adv depe@adv ben@v%pr_3 sinken@v%ppl in@prep min@pron%gen minde@n1,
With pitous hert in Englyssh to endyte,With pitous° herte in English for t’endite°,data/riverside_cats/Anelida_riv.cat,data/oxford_txts/Anelida_oxford.txt,data/csvs/Anelida,Anelida and Arcite 9,DIFF,0,10,With pitous hert in Englyssh to endyte,With pitous herte in English for t endite,      ,u Su Sx u Su S  uSx,with@prep pitous@adj herte@n in@prep english@n to@part enditen@v%inf,with@prep pitous@adj herte@n in@prep english@n for@prep to@part enditen@v%inf,green
"This olde storie, in Latyn which I fynde","This olde storie, in Latin which I finde",data/riverside_cats/Anelida_riv.cat,data/oxford_txts/Anelida_oxford.txt,data/csvs/Anelida,Anelida and Arcite 10,,10,10,This olde storie in Latyn which I fynde,This olde storie in Latin which I finde,u Su Su S u S u S,u Sx uS u Su S u Sx,this@gram_adj olde@adj storie@n1 in@prep latin@n which@pron ich@pron%nom finden@v%pr_1,this@gram_adj olde@adj storie@n1 in@prep latin@n which@pron ich@pron%nom finden@v%pr_1,
Of quene Anelida and fals Arcite,Of quene Anelida and fals Arcite,data/riverside_cats/Anelida_riv.cat,data/oxford_txts/Anelida_oxford.txt,data/csvs/Anelida,Anelida and Arcite 11,,10,10,Of quene Anelida and fals Arcite,Of quene Anelida and fals Arcite,u Su SuSx u S uSx,u Su SuSx u S uSx,of@prep quene@n2 anelida@n#propn and@conj fals@adj arcite@n2#propn,of@prep quene@n2 anelida@n#propn and@conj fals@adj arcite@n2#propn,
"That elde, which that al can frete and bite","That elde,° which that al can frete° and bite,°",data/riverside_cats/Anelida_riv.cat,data/oxford_txts/Anelida_oxford.txt,data/csvs/Anelida,Anelida and Arcite 12,,10,10,That elde which that al can frete and bite,That elde which that al can frete and bite,u Su S u S u Sx u Sx,u Su S u S u Sx u Sx,that@pron elde@n which@pron that@pron al@gram_adjas_n connen@v%pr_3 freten@v1%inf and@conj biten@v1%inf,that@pron elde@n which@pron that@pron al@gram_adjas_n connen@v%pr_3 freten@v1%inf and@conj biten@v1%inf,
As hit hath freten mony a noble storie,As it hath freten mony a noble storie,data/riverside_cats/Anelida_riv.cat,data/oxford_txts/Anelida_oxford.txt,data/csvs/Anelida,Anelida and Arcite 13,,0,0,As hit hath freten mony a noble storie,As it hath freten mony a noble storie,       ,       ,as@conj hit@pron haven@v%pr_3 freten@v1%ppl mani@gram_adj a@indef_art noble@adj storie@n1,as@conj hit@pron haven@v%pr_3 freten@v1%ppl mani@gram_adj a@indef_art noble@adj storie@n1,green
Hath nygh devoured out of oure memorie.,Hath nigh devoured out of our memorie.,data/riverside_cats/Anelida_riv.cat,data/oxford_txts/Anelida_oxford.txt,data/csvs/Anelida,Anelida and Arcite 14,,10,10,Hath nygh devoured out of oure memorie,Hath nigh devoured out of our memorie,u  SuS u S ux SuS,u S uSu S u S uS,haven@v%pr_3 neigh@adv devouren@v%ppl oute@adv#prep of@prep oure@pron%pl_gen memorie@n,haven@v%pr_3 neigh@adv devouren@v%ppl oute@adv#prep of@prep oure@pron%pl_gen memorie@n,
"Be favorable eke, thou Polymya","Be favorable eek, thou Polymia,°",data/riverside_cats/Anelida_riv.cat,data/oxford_txts/Anelida_oxford.txt,data/csvs/Anelida,Anelida and Arcite 15,,10,10,Be favorable eke thou Polymya,Be favorable eek thou Polymia,u SuSu Su S uS,u SuSu S u SuS,ben@v%pr_2 favourable@adj ek@adv thou@pron%nom polimia@n#propn,ben@v%pr_2 favourable@adj ek@adv thou@pron%nom polimia@n#propn,
On Parnaso that with thy sustres glade,"On Parnaso° that, with thy sustres glade",data/riverside_cats/Anelida_riv.cat,data/oxford_txts/Anelida_oxford.txt,data/csvs/Anelida,Anelida and Arcite 16,,9,9,On Parnaso that with thy sustres glade,On Parnaso that with thy sustres glade,S uSu S u  Su Sx,S uSu S u  Su Sx,on@prep parnaso@n#propn that@pron with@prep thin@pron%gen suster@n%pl glad@adj,on@prep parnaso@n#propn that@pron with@prep thin@pron%gen suster@n%pl glad@adj,
"By Elycon, not fer from Cirrea","By Elicon, not fer from Cirrea",data/riverside_cats/Anelida_riv.cat,data/oxford_txts/Anelida_oxford.txt,data/csvs/Anelida,Anelida and Arcite 17,,0,9,By Elycon not fer from Cirrea,By Elicon not fer from Cirrea,     , SuS u S u SuS,bi@prep elicon@n#propn not@adv fer@adv from@prep cirrea@n#propn,bi@prep elicon@n#propn not@adv fer@adv from@prep cirrea@n#propn,
Singest with vois memorial in the shade,Singest with vois memorial° in the shade,data/riverside_cats/Anelida_riv.cat,data/oxford_txts/Anelida_oxford.txt,data/csvs/Anelida,Anelida and Arcite 18,,10,10,Singest with vois memorial in the shade,Singest with vois memorial in the shade,uS u S uSu S u Sx,uS u S uSu S u Sx,singen@v%pr_2 with@prep voice@n memorial@adj in@prep the@def_art shade@n,singen@v%pr_2 with@prep voice@n memorial@adj in@prep the@def_art shade@n,
Under the laurer which that may not fade,Under the laurer° which that may not fade,data/riverside_cats/Anelida_riv.cat,data/oxford_txts/Anelida_oxford.txt,data/csvs/Anelida,Anelida and Arcite 19,,10,10,Under the laurer which that may not fade,Under the laurer which that may not fade,uS u Su S u S u Sx,uS u Su S u S u Sx,under@prep the@def_art laurer@n which@pron that@pron mouen@v3%pr_3 not@adv faden@v1%inf,under@prep the@def_art laurer@n which@pron that@pron mouen@v3%pr_3 not@adv faden@v1%inf,
And do that I my ship to haven wynne.,And do that° I my ship to haven° winne;°,data/riverside_cats/Anelida_riv.cat,data/oxford_txts/Anelida_oxford.txt,data/csvs/Anelida,Anelida and Arcite 20,,9,9,And do that I my ship to haven wynne,And do that I my ship to haven winne,S u S u  S u Su S,S u S u  S u Su Sx,and@conj don@v1%imp that@conj ich@pron%nom min@pron%gen ship@n to@prep haven@n1 winnen@v%pr_1,and@conj don@v1%imp that@conj ich@pron%nom min@pron%gen ship@n to@prep haven@n1 winnen@v%pr_1,
"First folowe I Stace, and after him Corynne.","First folow I Stace, and after him Corinne.",data/riverside_cats/Anelida_riv.cat,data/oxford_txts/Anelida_oxford.txt,data/csvs/Anelida,Anelida and Arcite 21,,10,10,First folowe I Stace and after him Corynne,First folow I Stace and after him Corinne,u Sux S ux S uS u Sx,u Su S ux S ux S uSx,first@adv folwen@v%pr_1 ich@pron%nom stace@n#propn and@conj after@prep him@pron%obj corinne@n#propn,first@adv folwen@v%pr_1 ich@pron%nom stace@n#propn and@conj after@prep him@pron%obj corinne@n#propn,
When Theseus with werres longe and grete,"Whan Theseus, with werres longe and grete",data/riverside_cats/Anelida_riv.cat,data/oxford_txts/Anelida_oxford.txt,data/csvs/Anelida,Anelida and Arcite 22,,10,10,When Theseus with werres longe and grete,Whan Theseus with werres longe and grete,u SuS u Su Sx u Sx,u SuS u Su Sx u Sx,whan@adv&conj theseus@n2#propn with@prep werre@n1%pl long@adj1 and@conj gret@adj,whan@adv&conj theseus@n2#propn with@prep werre@n1%pl long@adj1 and@conj gret@adj,
The aspre folk of Cithe had overcome,The aspre° folk of Cithe° had overcome,data/riverside_cats/Anelida_riv.cat,data/oxford_txts/Anelida_oxford.txt,data/csvs/Anelida,Anelida and Arcite 23,,10,10,The aspre folk of Cithe had overcome,The aspre folk of Cithe had overcome,u Su S u Sx u SuSx,u Su S u Sx u SuSx,the@def_art aspre@adj folk@n of@prep scithia@n#propn haven@v%pt_3 overcomen@v%ppl,the@def_art aspre@adj folk@n of@prep scithia@n#propn haven@v%pt_3 overcomen@v%ppl,
"With laurer corouned, in his char gold-bete","With laurer crouned, in his char gold-bete,°",data/riverside_cats/Anelida_riv.cat,data/oxford_txts/Anelida_oxford.txt,data/csvs/Anelida,Anelida and Arcite 24,,10,10,With laurer corouned in his char goldbete,With laurer crouned in his char goldbete,u Su Sux S u S uSx,u Su Su S u S uSx,with@prep laurer@n corounen@v1%ppl in@prep his@pron1%gen char@n2 gold-bete@adj,with@prep laurer@n corounen@v1%ppl in@prep his@pron1%gen char@n2 gold-bete@adj,
Hom to his contre-houses is he come,Hoom to his contre-houses° is ycome,data/riverside_cats/Anelida_riv.cat,data/oxford_txts/Anelida_oxford.txt,data/csvs/Anelida,Anelida and Arcite 25,DIFF,10,9,Hom to his contrehouses is he come,Hoom to his contrehouses is ycome,u S u SuSu S u Sx,S u S uSuS u Sx,hom@adv to@prep his@pron1%gen contre-houses@n%pl ben@v%pr_3 he@pron1%nom comen@v%ppl,hom@adv to@prep his@pron1%gen contre-houses@n%pl ben@v%pr_3 comen@v%ppl,green
"For which the peple, blisful al and somme","For which the peple, blisful al and somme",data/riverside_cats/Anelida_riv.cat,data/oxford_txts/Anelida_oxford.txt,data/csvs/Anelida,Anelida and Arcite 26,,10,10,For which the peple blisful al and somme,For which the peple blisful al and somme,u S u Su Su S u Sx,u S u Su Su S u Sx,for@prep which@pron the@def_art peple@n blisful@adj al@gram_adjas_n and@conj som@pron,for@prep which@pron the@def_art peple@n blisful@adj al@gram_adjas_n and@conj som@pron,
So cryeden that to the sterres hit wente,"So criden, that unto the sterres it wente",data/riverside_cats/Anelida_riv.cat,data/oxford_txts/Anelida_oxford.txt,data/csvs/Anelida,Anelida and Arcite 27,DIFF,10,10,So cryeden that to the sterres hit wente,So criden that unto the sterres it wente,u Su S u S uS u Sx,u Su S uS u Sx u Sx,so@adv crien@v%pt_pl that@conj to@prep the@def_art sterre@n%pl hit@pron wenden@v%pt_3,so@adv crien@v%pt_pl that@conj unto@prep the@def_art sterre@n%pl hit@pron wenden@v%pt_3,green
