headword,word,line_number,filename,context,is_elided,is_final,text_type
neue,newe,The Wife of Bath's Tale 1060,data/riverside_cats/WBT_riv.cat,For Goddes love as chees a newe requeste,False,False,RIVERSIDE
muche,muche,The Wife of Bath's Tale 1079,data/riverside_cats/WBT_riv.cat,Ther nas but hevynesse and muche sorwe,False,False,RIVERSIDE
muche,moche,House of Fame 971,data/riverside_cats/HF_riv.cat,Moche ys thy myght and thy noblesse,False,False,RIVERSIDE
wel,wele,Book of the Duchess 82,data/riverside_cats/BD_riv.cat,It was not wele he dwelte so,False,False,RIVERSIDE
prive,pryve,Troilus and Criseyde; Book III 787,data/riverside_cats/TC3_riv.cat,Is thorugh a goter by a pryve wente,False,False,RIVERSIDE
heigh,heighe,The Merchant's Tale 1482,data/riverside_cats/MerT_riv.cat,That yow ne liketh for youre heighe prudence,False,False,RIVERSIDE
long,longe,The Nun's Priest's Tale 3149,data/riverside_cats/NPT_riv.cat,But thilke tale is al to longe to telle,False,False,RIVERSIDE
muche,moche,Book of the Duchess 986,data/riverside_cats/BD_riv.cat,Had as moche debonairte,False,False,RIVERSIDE
salt,salte,Troilus and Criseyde; Book III 8,data/riverside_cats/TC3_riv.cat,In hevene and helle in erthe and salte see,False,False,RIVERSIDE
long,longe,The Knight's Tale 994,data/riverside_cats/KnT_riv.cat,But it were al to longe for to devyse,False,False,RIVERSIDE
long,longe,House of Fame 446,data/riverside_cats/HF_riv.cat,Saugh he which is longe to telle,False,False,RIVERSIDE
heigh,heighe,The Knight's Tale 2661,data/riverside_cats/KnT_riv.cat,For joye of this so loude and heighe withalle,False,False,RIVERSIDE
