OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
"Ther is, at the west syde of Ytaille","Ther is, at the west side of Itaille",data/riverside_cats/ClT_riv.cat,data/oxford_txts/ClT_oxford.txt,data/csvs/ClT,The Clerk's Tale 57,,10,10,Ther is at the west syde of Ytaille,Ther is at the west side of Itaille,u S u S u Su S uSx,u S u S u Su S uSx,ther@adv ben@v%pr_3 at@prep the@def_art west@adj side@n of@prep itaille@n#propn,ther@adv ben@v%pr_3 at@prep the@def_art west@adj side@n of@prep itaille@n#propn,
Doun at the roote of Vesulus the colde,Doun at the rote° of Vesulus the colde,data/riverside_cats/ClT_riv.cat,data/oxford_txts/ClT_oxford.txt,data/csvs/ClT,The Clerk's Tale 58,,10,10,Doun at the roote of Vesulus the colde,Doun at the rote of Vesulus the colde,u S u Sx u SuS u Sx,u S u Sx u SuS u Sx,doun@adv at@prep the@def_art rote@n4 of@prep vesulus@n#propn the@def_art cold@adj,doun@adv at@prep the@def_art rote@n4 of@prep vesulus@n#propn the@def_art cold@adj,
"A lusty playn, habundant of vitaille","A lusty° plaine, habundant of vitaille,°",data/riverside_cats/ClT_riv.cat,data/oxford_txts/ClT_oxford.txt,data/csvs/ClT,The Clerk's Tale 59,,10,10,A lusty playn habundant of vitaille,A lusty plaine habundant of vitaille,u Su S uSu S uSx,u Su Sx uSu S uSx,a@indef_art lusti@adj plaine@n aboundaunt@adj of@prep vitaile@n,a@indef_art lusti@adj plaine@n aboundaunt@adj of@prep vitaile@n,
Where many a tour and toun thou mayst biholde,Wher many a tour and toun thou mayst biholde,data/riverside_cats/ClT_riv.cat,data/oxford_txts/ClT_oxford.txt,data/csvs/ClT,The Clerk's Tale 60,,10,10,Where many a tour and toun thou mayst biholde,Wher many a tour and toun thou mayst biholde,ux Sx u S u S u S uSx,u Sx u S u S u S uSx,wher@adv&conj mani@gram_adj a@indef_art tour@n1 and@conj toun@n thou@pron%nom mouen@v3%pr_2 biholden@v%inf,wher@adv&conj mani@gram_adj a@indef_art tour@n1 and@conj toun@n thou@pron%nom mouen@v3%pr_2 biholden@v%inf,
That founded were in tyme of fadres olde,That founded were in time of fadres olde,data/riverside_cats/ClT_riv.cat,data/oxford_txts/ClT_oxford.txt,data/csvs/ClT,The Clerk's Tale 61,,10,10,That founded were in tyme of fadres olde,That founded were in time of fadres olde,u Su Sx u Sx u Su Sx,u Su Sx u Sx u Su Sx,that@pron founden@v2%ppl ben@v%pt_pl in@prep time@n of@prep fader@n%pl olde@adj,that@pron founden@v2%ppl ben@v%pt_pl in@prep time@n of@prep fader@n%pl olde@adj,
And many another delitable sighte,And many another delitable sighte,data/riverside_cats/ClT_riv.cat,data/oxford_txts/ClT_oxford.txt,data/csvs/ClT,The Clerk's Tale 62,,10,10,And many another delitable sighte,And many another delitable sighte,u Su SuS uSux Sx,u Su SuS uSux Sx,and@conj mani@gram_adj another@gram_adj delitable@adj sighte@n,and@conj mani@gram_adj another@gram_adj delitable@adj sighte@n,
And Saluces this noble contree highte.,And Saluces this noble contree highte.,data/riverside_cats/ClT_riv.cat,data/oxford_txts/ClT_oxford.txt,data/csvs/ClT,The Clerk's Tale 63,,10,10,And Saluces this noble contree highte,And Saluces this noble contree highte,u SuS u Su Su Sx,u SuS u Su Su Sx,and@conj saluce@n#propn this@gram_adj noble@adj contree@n hoten@v1%pt_3,and@conj saluce@n#propn this@gram_adj noble@adj contree@n hoten@v1%pt_3,
A markys whilom lord was of that lond,A markis° whilom° lord was of that londe,data/riverside_cats/ClT_riv.cat,data/oxford_txts/ClT_oxford.txt,data/csvs/ClT,The Clerk's Tale 64,,10,10,A markys whilom lord was of that lond,A markis whilom lord was of that londe,u Su Su S u S u S,u Su Su S u S u Sx,a@indef_art markis@n whilom@adv lord@n ben@v%pt_3 of@prep that@art&gram_adj lond@n,a@indef_art markis@n whilom@adv lord@n ben@v%pt_3 of@prep that@art&gram_adj lond@n,
As were his worthy eldres hym bifore;,As were his worthy eldres him bifore;,data/riverside_cats/ClT_riv.cat,data/oxford_txts/ClT_oxford.txt,data/csvs/ClT,The Clerk's Tale 65,,10,10,As were his worthy eldres hym bifore,As were his worthy eldres him bifore,u Sx u Su Su S uSx,u Sx u Su Su S uSx,as@conj ben@v%pt_pl his@pron1%gen worthi@adj eldre@n%pl him@pron%obj biforen@prep,as@conj ben@v%pt_pl his@pron1%gen worthi@adj eldre@n%pl him@pron%obj biforen@prep,
"And obeisant, ay redy to his hond",And obeisant ay redy to his honde,data/riverside_cats/ClT_riv.cat,data/oxford_txts/ClT_oxford.txt,data/csvs/ClT,The Clerk's Tale 66,,10,10,And obeisant ay redy to his hond,And obeisant ay redy to his honde,u SuS u Su S u S,u SuS u Su S u Sx,and@conj obeisaunt@adj ai@adv redi@adj3 to@prep his@pron1%gen honde@n,and@conj obeisaunt@adj ai@adv redi@adj3 to@prep his@pron1%gen honde@n,
