OG_OXFORD_TEXT,OXFORD_TEXT,GREEN_SCANSION,GREEN_SYLLABLES,V1_SCANSION,V1_SYLLABLES,V1_MATCHES_GREEN,V1_CONFIDENCE
That lith° ful pale and nothing rody.°,That lith ful pale and nothing rody,u S u Sx u Su Su,9,u S u Sx u Su Su,9,1,85.41
Out of these blake wawes for to saile,Out of these blake wawes for to saile,u S ux Su Su S u Sx,10,u S ux Su Su S u Sx,10,1,69.46
"O wind, O wind, the weder ginneth clere;",O wind O wind the weder ginneth clere,u S u S u Su Su Sx,10,u S u S u Su Su Sx,10,1,85.72
For in this see the boot hath swich travaile,For in this see the boot hath swich travaile,u S u S u S u S uSx,10,u S u S u S u S uSx,10,1,72.94
Of my conning that unnethe I it stere:,Of my conning that unnethe I it stere,u S uS u Sux S u Sx,10,u S uS u Sux S u Sx,10,1,68.65
This see clepe I the tempestous matere,This see clepe I the tempestous matere,u S ux S u uSuS uSx,11,u S ux S u SuS uSx,10,0,62.60
Of desespeir that Troilus was inne:,Of desespeir that Troilus was inne,u SuS u SuS u Sx,10,u SuS u SuS u Sx,10,1,78.04
But now of hope the calendes biginne.,But now of hope the calendes biginne,u S u Sx u SuS uSx,10,u S u Sx u SuS uSx,10,1,82.99
"O lady min, that called art Cleo",O lady min that called art Cleo,u Su S u Su u S,9,S uS u S uS u S,9,0,37.82
"Thou be my speed fro this forth, and my Muse",Thou be my speed fro this forth and my Muse,u S u S u S u S u Sx,10,u S u S u S u S u Sx,10,1,60.66
"To rime wel this book, til I have do;",To rime wel this book til I have do,u Su S u S Su S u S,11,u Su S u S u S ux S,10,0,67.38
Me nedeth here noon other art to use.,Me nedeth here noon other art to use,u Su Sx u Su S u Sx,10,u Su Sx u Su S u Sx,10,1,73.31
Forwhy to every lovere I me excuse,Forwhy to every lovere I me excuse,uS u Su Su u x uS,10,uS u Su Sxx u S uSx,10,0,62.87
That of no sentement I this endite,That of no sentement I this endite,u S u SuS u S uSx,10,u S u SuS u S uSx,10,1,67.33
But out of Latin in my tonge it write.,But out of Latin in my tonge it write,u S u Su S u Sx u Sx,10,u S u Su S u Sx u Sx,10,1,72.29
Wherfore I nil have neither thank ne blame,Wherfore I nil have neither thank ne blame,uSx u S ux Su S u Sx,10,uSx u S ux Su S u Sx,10,1,83.75
"Of al this werk, but pray yow mekely",Of al this werk but pray yow mekely,u S u S u S u SuS,10,u S u S u S u SuS,10,1,80.71
"Disblameth me, if any word be lame",Disblameth me if any word be lame,uSu S u Su S u Sx,10,uSu S u Su S u Sx,10,1,75.87
"For as min auctor seide, so seye I.",For as min auctor seide so seye I,u S u Su Su S u S,10,u S u Su Su S u S,10,1,44.60
Eek though I speke of love unfelingly,Eek though I speke of love unfelingly,u S u Sx u Sx uSuS,10,u S u Sx u Sx uSuS,10,1,76.33
"No wonder is, for it no thing of newe is;",No wonder is for it no thing of newe is,u Su S u S u S u S u,11,u Sx u S u S u S ux S,10,0,36.73
A blind man can nat juggen wel in hewis.,A blind man can nat juggen wel in hewis,u S u S u Su S u Su,11,u S u S u Sx u S uS,10,0,46.07
