OG_OXFORD_TEXT,OXFORD_TEXT,GREEN_SCANSION,V1_SCANSION,V2_SCANSION,GREEN_SYLLABLES,V1_SYLLABLES,V2_SYLLABLES,V1_MATCHES_GREEN,V2_MATCHES_GREEN
That lith° ful pale and nothing rody.°,That lith ful pale and nothing rody,u S u Sx u Su Su,      ,u S u Sx u Su Su,9,0,9,0,1
Out of these blake wawes for to saile,Out of these blake wawes for to saile,u S ux Su Su S u Sx,u S ux Su Su S u Sx,u S ux Su Su S u Sx,10,10,10,1,1
"O wind, O wind, the weder ginneth clere;",O wind O wind the weder ginneth clere,u S u S u Su Su Sx,u S u S u Su Su Sx,u S u S u Su Su Sx,10,10,10,1,1
For in this see the boot hath swich travaile,For in this see the boot hath swich travaile,u S u S u S u S uSx,u S u S u S u S uSx,u S u S u S u S uSx,10,10,10,1,1
Of my conning that unnethe I it stere:,Of my conning that unnethe I it stere,u S uS u Sux S u Sx,u S uS u Sux S u Sx,u S uS u Sux S u Sx,10,10,10,1,1
This see clepe I the tempestous matere,This see clepe I the tempestous matere,u S ux S u uSuS uSx,u S ux S u SuS uSx,u S ux S u SuS uSx,11,10,10,0,0
Of desespeir that Troilus was inne:,Of desespeir that Troilus was inne,u SuS u SuS u Sx,u SuS u SuS u Sx,u SuS u SuS u Sx,10,10,10,1,1
But now of hope the calendes biginne.,But now of hope the calendes biginne,u S u Sx u SuS uSx,u S u Sx u SuS uSx,u S u Sx u SuS uSx,10,10,10,1,1
"O lady min, that called art Cleo",O lady min that called art Cleo,u Su S u Su u S,S uS u S uS u S,S uS u S uS u S,9,9,9,0,0
"Thou be my speed fro this forth, and my Muse",Thou be my speed fro this forth and my Muse,u S u S u S u S u Sx,u S u S u S u S u Sx,u S u S u S u S u Sx,10,10,10,1,1
"To rime wel this book, til I have do;",To rime wel this book til I have do,u Su S u S Su S u S,u Sx u S u S u Su S,u Sx u S u S u Su S,11,10,10,0,0
Me nedeth here noon other art to use.,Me nedeth here noon other art to use,u Su Sx u Su S u Sx,u Su Sx u Su S u Sx,u Su Sx u Su S u Sx,10,10,10,1,1
Forwhy to every lovere I me excuse,Forwhy to every lovere I me excuse,uS u Su Su u x uS,uS u SuS uxx S x uSx,uS u Su Sux S u Sux,10,10,11,0,0
That of no sentement I this endite,That of no sentement I this endite,u S u SuS u S uSx,u S u SuS u S uSx,u S u SuS u S uSx,10,10,10,1,1
But out of Latin in my tonge it write.,But out of Latin in my tonge it write,u S u Su S u Sx u Sx,u S u Su S u Sx u Sx,u S u Su S u Sx u Sx,10,10,10,1,1
Wherfore I nil have neither thank ne blame,Wherfore I nil have neither thank ne blame,uSx u S ux Su S u Sx,uSx u S ux Su S u Sx,uSx u S ux Su S u Sx,10,10,10,1,1
"Of al this werk, but pray yow mekely",Of al this werk but pray yow mekely,u S u S u S u SuS,u S u S u S u SuS,u S u S u S u SuS,10,10,10,1,1
"Disblameth me, if any word be lame",Disblameth me if any word be lame,uSu S u Su S u Sx,uSu S u Su S u Sx,uSu S u Su S u Sx,10,10,10,1,1
"For as min auctor seide, so seye I.",For as min auctor seide so seye I,u S u Su Su S u S,u S u Su Su S u S,u S u Su Su S u S,10,10,10,1,1
Eek though I speke of love unfelingly,Eek though I speke of love unfelingly,u S u Sx u Sx uSuS,u S u Sx u Sx uSuS,u S u Sx u Sx uSuS,10,10,10,1,1
"No wonder is, for it no thing of newe is;",No wonder is for it no thing of newe is,u Su S u S u S u S u,u Sx u S u S u S ux S,u Su S u S u S u Sx u,11,10,11,0,1
A blind man can nat juggen wel in hewis.,A blind man can nat juggen wel in hewis,u S u S u Su S u Su,u S u S u Sx u S uS,u S u S u Su S u Su,11,10,11,0,1
"Ye knowe eek, that in forme of speche is chaunge",Ye knowe eek that in forme of speche is chaunge,u Su S u u Sx u Sx u Sx,u Sx u S u Sx u Sx u Sx,u Sx u S u Sx u Sx u Sx,11,10,10,0,0
"Withinne a thousand yeer, and wordes tho",Withinne a thousand yeer and wordes tho,uSx u Su S u Su S,uSx u Su S u Su S,uSx u Su S u Su S,10,10,10,1,1
"That hadden pris, now wonder niceand straunge",That hadden pris now wonder nice and straunge,u Su S u Su S u Sx,u Su S u Su Sx u Sx,u Su S u Su Sx u Sx,10,10,10,1,1
Us thinketh hem; and yet they spake hem so,Us thinketh hem and yet they spake hem so,u Su S u S u Sx u S,u Su S u S u Sx u S,u Su S u S u Sx u S,10,10,10,1,1
And spedde as wel in love as men now do;,And spedde as wel in love as men now do,u Sx u S u Sx u S u S,u Sx u S u Sx u S u S,u Sx u S u Sx u S u S,10,10,10,1,1
Eek for to winne love in sondry ages,Eek for to winne love in sondry ages,u S u Su S u Su Sx,u S u Sx ux S uS uS,u S u Sx ux S uS uS,10,10,10,0,0
"In sondry londes, sondry ben usages.",In sondry londes sondry ben usages,u Su Su Su S uSx,u Su Su Su S uSx,u Su Su Su S uSu,10,10,11,1,0
