headword,word,tag,line_number,filename,context,text_type,reason
usen,used,v%pt_pl,The Prioress' Tale 499,data/riverside_cats/PrT_riv.cat,Swich manere doctrine as men used there,RIVERSIDE,Past plural must end in -en or -e
ben,is,v%pr_3,The Prioress' Tale 500,data/riverside_cats/PrT_riv.cat,This is to seyn to syngen and to rede,RIVERSIDE,Present 3rd sg must end in -th
seien,seyn,v%inf,The Prioress' Tale 500,data/riverside_cats/PrT_riv.cat,This is to seyn to syngen and to rede,RIVERSIDE,Infinitive must end in -en or -e
haven,hadde,v%pt_3,The Prioress' Tale 506,data/riverside_cats/PrT_riv.cat,Of Cristes mooder hadde he in usage,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t"
heren,herde,v%pt_3,The Prioress' Tale 518,data/riverside_cats/PrT_riv.cat,He Alma redemptoris herde synge,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t"
durren,dorste,v%pt_3,The Prioress' Tale 520,data/riverside_cats/PrT_riv.cat,And as he dorste he drough hym ner and ner,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t"
haven,have,v%pr_3,The Prioress' Tale 531,data/riverside_cats/PrT_riv.cat,Answerde hym thus This song I have herd seye,RIVERSIDE,Present 3rd sg must end in -th
ben,is,v%pr_3,The Prioress' Tale 537,data/riverside_cats/PrT_riv.cat,And is this song maked in reverence,RIVERSIDE,Present 3rd sg must end in -th
don,do,v%inf,The Prioress' Tale 539,data/riverside_cats/PrT_riv.cat,Now certes I wol do my diligence,RIVERSIDE,Infinitive must end in -en or -e
wenden,wente,v%pt_3,The Prioress' Tale 549,data/riverside_cats/PrT_riv.cat,To scoleward and homward whan he wente,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t"
connen,kan,v%pr_3,The Prioress' Tale 557,data/riverside_cats/PrT_riv.cat,He kan nat stynte of syngyng by the weye,RIVERSIDE,Present 3rd sg must end in -th
ben,is,v%pr_3,The Prioress' Tale 561,data/riverside_cats/PrT_riv.cat,Is this to yow a thyng that is honest,RIVERSIDE,Present 3rd sg must end in -th
ben,is,v%pr_3,The Prioress' Tale 561,data/riverside_cats/PrT_riv.cat,Is this to yow a thyng that is honest,RIVERSIDE,Present 3rd sg must end in -th
shulen,shal,v%pr_3,The Prioress' Tale 562,data/riverside_cats/PrT_riv.cat,That swich a boy shal walken as hym lest,RIVERSIDE,Present 3rd sg must end in -th
listen,lest,v%pr_3,The Prioress' Tale 562,data/riverside_cats/PrT_riv.cat,That swich a boy shal walken as hym lest,RIVERSIDE,Present 3rd sg must end in -th
haven,han,v%pr_pl,The Prioress' Tale 567,data/riverside_cats/PrT_riv.cat,An homycide therto han they hyred,RIVERSIDE,Present plural must end in -en or -e
casten,caste,v%pt_3,The Prioress' Tale 571,data/riverside_cats/PrT_riv.cat,And kitte his throte and in a pit hym caste,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t"
