folder,file,line_number,oxford_text,green_scansion,v1_scansion,v2_scansion
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 5,This see clepe I the tempestous matere,u S ux S u uSuS uSx,u S ux S u SuS uSx,u S ux S u SuS uSx
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 8,O lady min that called art Cleo,u Su S u Su u S,S uS u S uS u S,S uS u S uS u S
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 10,To rime wel this book til I have do,u Su S u S Su S u S,u Sx u S u S u Su S,u Sx u S u S u Su S
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 12,Forwhy to every lovere I me excuse,uS u Su Su u x uS,uS u SuS uxx S x uSx,uS u Su Sux S x uSx
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 22,Ye knowe eek that in forme of speche is chaunge,u Su S u u Sx u Sx u Sx,u Sx u S u Sx u Sx u Sx,u Sx u S u Sx u Sx u Sx
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 27,Eek for to winne love in sondry ages,u S u Su S u Su Sx,u S u Sx ux S uS uS,u S u Sx ux S uS uS
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 40,As thus in open doing or in chere,u S u Su Su S u Sx,S u S uS u S u Sx,S u S uS u S u Sx
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 81,And fond two othere ladies sete and she,u S u Sux Su S u S,u S u Sux SuS ux S x,u S u Sux SuS ux S x
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 98,Uncle quod she your maistresse is not here,uS u S u Su S u Sx,ux S u S uSu S u Sx,ux S u S uSu S u Sx
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 123,For Goddes love is than the assege aweye,u Su S u S x uS uS,       ,u Su Sx u S u Sux Su
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 132,My wit is for to arede it al to lene,u S u S u xS u S u S,u S u S u Sux S u S xx,u S u S u Sux S u S ux
