folder,file,line_number,oxford_text,green_scansion,v2_scansion,ranked_scansion
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 20,No wonder is for it no thing of newe is,u Su S u S u S u S u,u Su S u S u S u Sx u,u Sx u S u S u S ux S
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 21,A blind man can nat juggen wel in hewis,u S u S u Su S u Su,u S u S u Su S u Su,u S u S u Sx u S uS
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 282,Som time is shape if he it can receiven,u Sx u Sx u S u S uSu,u Sx u Sx u S u S uSu,u Sx u Sx u S u S uSx
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 285,Lo neither cas nor fortune him deceiven,u Su S u Sux S uSu,u Su S u Sux S uSu,u Su S u Sux S uSx
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 523,He seide Lord have routhe upon my peine,u Sx u Su Sx uS u Sx,u Sx u Su Sx uS u Sx,u Su S ux Sx uS u Sx
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 535,That to min hertes botme it is ysounded,u S u Su Sx u S uSu,u S u Su Sx u S uSu,u S u Su Sx u S uSx
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 564,As nevere of thing hadde I no routhe more,u Sux S u Sx u S ux Sx,u Sux S u Sx u S ux Sx,u Sxx u S ux S u Su Sx
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 576,And to non harm of yow thus am I driven,u S u S u S u S u Su,u S u S u S u S u Su,u S u S u S u S u Sx
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 578,Swich chere him dooth that he and I may liven,u Sx u S u S u S u Su,u Sx u S u S u S u Su,u Sx u S u S u S u Sx
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 797,Wher it bicomth lo no wight on it sporneth,u S uS u S u S u Su,u S uS u S u S u Su,u S uS u S u S u Sx
