OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
Whilom ther was dwellynge at Oxenford,¶Whilom° ther was dwellinge at Oxenford,data/riverside_cats/MilT_riv.cat,data/oxford_txts/MilT_oxford.txt,data/csvs/MilT,The Miller's Tale 3187,,10,10,Whilom ther was dwellynge at Oxenford,Whilom ther was dwellinge at Oxenford,uS u S uSx u SuS,uS u S uSx u SuS,whilom@adv ther@adv ben@v%pt_3 dwellen@v%prp at@prep oxenford@n#propn,whilom@adv ther@adv ben@v%pt_3 dwellen@v%prp at@prep oxenford@n#propn,green
"A riche gnof, that gestes heeld to bord","A riche gnof,° that gestes heeld to bord,°",data/riverside_cats/MilT_riv.cat,data/oxford_txts/MilT_oxford.txt,data/csvs/MilT,The Miller's Tale 3188,,10,10,A riche gnof that gestes heeld to bord,A riche gnof that gestes heeld to bord,u Su S u Su S u S,u Su S u Su S u S,a@indef_art riche@adj gnof@n that@pron gest@n%pl holden@v1%pt_3 to@prep bord@n,a@indef_art riche@adj gnof@n that@pron gest@n%pl holden@v1%pt_3 to@prep bord@n,green
And of his craft he was a carpenter.,And of his craft° he was a carpenter.,data/riverside_cats/MilT_riv.cat,data/oxford_txts/MilT_oxford.txt,data/csvs/MilT,The Miller's Tale 3189,,10,10,And of his craft he was a carpenter,And of his craft he was a carpenter,u S u S u S u SuS,u S u S u S u SuS,and@conj of@prep his@pron1%gen craft@n1 he@pron1%nom ben@v%pt_3 a@indef_art carpenter@n,and@conj of@prep his@pron1%gen craft@n1 he@pron1%nom ben@v%pt_3 a@indef_art carpenter@n,green
With hym ther was dwellynge a poure scoler,"With him ther was dwellinge a pour scoler,°",data/riverside_cats/MilT_riv.cat,data/oxford_txts/MilT_oxford.txt,data/csvs/MilT,The Miller's Tale 3190,,10,10,With hym ther was dwellynge a poure scoler,With him ther was dwellinge a pour scoler,u S u S uSx u Sx uS,u S u S uSx u S uS,with@prep him@pron%obj ther@adv ben@v%pt_3 dwellen@v%prp a@indef_art povre@adj scolere@n,with@prep him@pron%obj ther@adv ben@v%pt_3 dwellen@v%prp a@indef_art povre@adj scolere@n,green
"Hadde lerned art, but al his fantasye","Had lerned art,° but al his fantasie°",data/riverside_cats/MilT_riv.cat,data/oxford_txts/MilT_oxford.txt,data/csvs/MilT,The Miller's Tale 3191,,0,10,Hadde lerned art but al his fantasye,Had lerned art but al his fantasie,      ,u Su S u S u SuS,haven@v%pt_3 lernen@v%ppl art@n1 but@conj al@gram_adj his@pron1%gen fantasie@n,haven@v%pt_3 lernen@v%ppl art@n1 but@conj al@gram_adj his@pron1%gen fantasie@n,green
Was turned for to lerne astrologye,Was turned for to lerne astrologie,data/riverside_cats/MilT_riv.cat,data/oxford_txts/MilT_oxford.txt,data/csvs/MilT,The Miller's Tale 3192,,0,10,Was turned for to lerne astrologye,Was turned for to lerne astrologie,     ,u Su S u Sx uSuS,ben@v%pt_3 turnen@v%ppl for@prep#adv to@part lernen@v%inf astrologie@n1,ben@v%pt_3 turnen@v%ppl for@prep#adv to@part lernen@v%inf astrologie@n1,green
And koude a certeyn of conclusiouns,And coude a certein° of conclusiouns°,data/riverside_cats/MilT_riv.cat,data/oxford_txts/MilT_oxford.txt,data/csvs/MilT,The Miller's Tale 3193,,10,10,And koude a certeyn of conclusiouns,And coude a certein of conclusiouns,u Sx u Su S uSuS,u Sx u Su S uSuS,and@conj connen@v%pt_3 a@indef_art certain@n of@prep conclusioun@n%pl,and@conj connen@v%pt_3 a@indef_art certain@n of@prep conclusioun@n%pl,green
To demen by interrogaciouns,To demen° by interrogaciouns,data/riverside_cats/MilT_riv.cat,data/oxford_txts/MilT_oxford.txt,data/csvs/MilT,The Miller's Tale 3194,,10,10,To demen by interrogaciouns,To demen by interrogaciouns,u Su S uSuSuS,u Su S uSuSuS,to@part demen@v%inf bi@prep interrogacion@n%pl,to@part demen@v%inf bi@prep interrogacion@n%pl,green
"If that men asked hym, in certein houres","If that men axed him in certein houres,°",data/riverside_cats/MilT_riv.cat,data/oxford_txts/MilT_oxford.txt,data/csvs/MilT,The Miller's Tale 3195,DIFF,10,10,If that men asked hym in certein houres,If that men axed him in certein houres,u S u Su S u Su Sx,u S u Su S u Su Sx,if@conj that@part man@n%pl  him@pron%obj in@prep certain@adj houre@n%pl,if@conj that@part man@n%pl  him@pron%obj in@prep certain@adj houre@n%pl,
Whan that men sholde have droghte or elles shoures,Whan that men sholde have droghte° or elles shoures,data/riverside_cats/MilT_riv.cat,data/oxford_txts/MilT_oxford.txt,data/csvs/MilT,The Miller's Tale 3196,,10,10,Whan that men sholde have droghte or elles shoures,Whan that men sholde have droghte or elles shoures,u S u Sx ux Sx u Su Sx,u S u Sx ux Sx u Su Sx,whan@adv&conj that@part man@n%pl shulen@v1%pt_pl haven@v%inf droughte@n or@conj elles@adv shour@n%pl,whan@adv&conj that@part man@n%pl shulen@v1%pt_pl haven@v%inf droughte@n or@conj elles@adv shour@n%pl,green
