OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
God turne us every drem to goode!,¶God turne us every dreem to gode!°,data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 1,,8,8,God turne us every drem to goode,God turne us every dreem to gode,u Sx u Sxu S u Sx,u Sx u Sxu S u Sx,god@n1#propn turnen@v%pr_3 us@pron%pl_obj everi@pron_gram_adj drem@n2 to@prep god@n2,god@n1#propn turnen@v%pr_3 us@pron%pl_obj everi@pron_gram_adj drem@n2 to@prep god@n2,
"For hyt is wonder, be the roode","For it is wonder, be the rode,°",data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 2,,8,8,For hyt is wonder be the roode,For it is wonder be the rode,u S u Su S u Sx,u S u Su S u Sx,for@conj hit@pron ben@v%pr_3 wonder@n bi@prep the@def_art rode@n5,for@conj hit@pron ben@v%pr_3 wonder@n bi@prep the@def_art rode@n5,
"To my wyt, what causeth swevenes","To my wit, what causeth swevens°",data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 3,,8,8,To my wyt what causeth swevenes,To my wit what causeth swevens,u S u S uS uSx,u S u S uS uS,to@prep min@pron%gen wit@n what@pron causen@v1%pr_3 sweven@n%pl,to@prep min@pron%gen wit@n what@pron causen@v1%pr_3 sweven@n%pl,
Eyther on morwes or on evenes,"Either on morwes, or on evens;°",data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 4,,8,8,Eyther on morwes or on evenes,Either on morwes or on evens,uS u Su S u Sxx,uS u Sx u S uS,either@conj on@prep morwe@n%pl or@conj on@prep even@n%pl,either@conj on@prep morwe@n%pl or@conj on@prep even@n%pl,
And why th' effect folweth of somme,"And why the effect folweth of somme,°",data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 5,,8,8,And why th effect folweth of somme,And why the effect folweth of somme,u S  uS uS u Sx,u S u Su Sx u Sx,and@conj whi@adv the@def_art effect@n folwen@v%pr_3 of@prep som@pron,and@conj whi@adv the@def_art effect@n folwen@v%pr_3 of@prep som@pron,
And of somme hit shal never come;,And of somme it shal never come;,data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 6,,8,8,And of somme hit shal never come,And of somme it shal never come,u S ux S u Su Sx,u S ux S u Su Sx,and@conj of@prep som@pron hit@pron shulen@v1%pr_3 never@adv comen@v%inf,and@conj of@prep som@pron hit@pron shulen@v1%pr_3 never@adv comen@v%inf,
Why that is an avision,"Why that is an avisioun,°",data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 7,,8,8,Why that is an avision,Why that is an avisioun,u S u S uSuS,u S u S uSuS,whi@adv that@pron ben@v%pr_3 a@indef_art avisioun@n,whi@adv that@pron ben@v%pr_3 a@indef_art avisioun@n,
And why this a revelacion,"And this a revelacioun,°",data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 8,DIFF,0,8,And why this a revelacion,And this a revelacioun,    ,u S u SuSuS,and@conj whi@adv this@pron a@indef_art revelacioun@n,and@conj this@pron a@indef_art revelacioun@n,green
"Why this a drem, why that a sweven","Why this a dreem, why that a sweven",data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 9,,9,9,Why this a drem why that a sweven,Why this a dreem why that a sweven,u S u S u S u Su,u S u S u S u Su,whi@adv this@pron a@indef_art drem@n2 whi@adv that@pron a@indef_art sweven@n,whi@adv this@pron a@indef_art drem@n2 whi@adv that@pron a@indef_art sweven@n,
And noght to every man lyche even;,And nought to every man liche even;°,data/riverside_cats/HF_riv.cat,data/oxford_txts/HF_oxford.txt,data/csvs/HF,House of Fame 10,,9,9,And noght to every man lyche even,And nought to every man liche even,u S u SuS u Sx ux,u S u SuS u Sx ux,and@conj nought@adv to@prep everi@pron_gram_adj man@n like@adv even@adj,and@conj nought@adv to@prep everi@pron_gram_adj man@n like@adv even@adj,
